,i,j,w
0,1,0,838.134566962719
1,2,0,294.600553482771
2,2,1,400.929807245731
3,3,0,7.01613682508469
4,3,1,68.822315454483
5,3,2,1.64916145801544
6,4,0,5.58592009544373
7,4,1,6.68747448921204
8,4,2,6.40098661184311
9,4,3,32.323777794838
10,5,0,161.203486293554
11,5,1,7.73929017782211
12,5,3,2.63796907663345
13,5,4,403.45269843936
14,6,0,103.630371719599
15,6,1,48.7961276769638
16,6,2,445.344347029924
17,6,4,4.16284155845642
18,6,5,1.05827060341835
19,7,0,3.45758175849915
20,7,1,1.15356159210205
21,7,2,24.1503936946392
22,7,6,1008.92746239901
23,8,0,2.75313639640808
24,8,1,1.08306062221527
25,8,2,20.2563570737839
26,8,3,2.1320629119873
27,8,4,10.8675542771816
28,8,5,2.11869788169861
29,8,6,563.435687363148
30,8,7,458.280755698681
31,9,0,55.8032409548759
32,9,1,486.208264231682
33,9,2,260.151488184929
34,9,3,164.866729080677
35,9,4,355.626221299171
36,9,5,36.8105900287628
37,9,6,488.99325042963
38,9,7,89.9482133090496
39,9,8,2466.14601719379
40,10,0,1.21608471870422
41,10,1,7.40907567739487
42,10,2,28.365000218153
43,10,3,11.2179421186447
44,10,4,364.635617345572
45,10,5,77.2912314832211
46,10,6,92.6775363683701
47,10,7,14.5136617422104
48,10,8,146.098748773336
49,10,9,545.344152599573
50,11,0,0.400070697069168
51,11,1,1.86418259143829
52,11,2,5.74910998344421
53,11,4,11.7753745317459
54,11,5,4.96945157647133
55,11,6,136.408000975847
56,11,7,172.730168044567
57,11,8,1238.21297329664
58,11,9,290.069549679756
59,11,10,1103.54677435756
60,12,0,1.33467924594879
61,12,1,2.42956376075745
62,12,2,1.95273232460022
63,12,4,1.19969856739044
64,12,6,28.0945801138878
65,12,7,407.486886501312
66,12,8,379.378466904163
67,12,9,56.8088106215
68,12,10,230.705677330494
69,12,11,1459.95651245117
70,13,0,2.17270839214325
71,13,1,2.92740166187286
72,13,2,1.29392910003662
73,13,4,0.810220241546631
74,13,5,0.978566765785217
75,13,6,26.8167741894722
76,13,7,339.580753684044
77,13,8,359.917580842972
78,13,9,36.5768075287342
79,13,10,37.8266957998276
80,13,11,431.726954102516
81,13,12,1509.66160750389
82,14,0,1.99175009131432
83,14,6,9.63444858789444
84,14,7,381.678693503141
85,14,8,1576.40659862757
86,14,9,80.6192175447941
87,14,10,5.4192396402359
88,14,11,327.932300060987
89,14,12,718.225966721773
90,14,13,2266.96014124155
91,15,0,18.0618451833725
92,15,1,0.552132427692413
93,15,2,9.76905724406242
94,15,6,212.435520917177
95,15,7,1516.06841266155
96,15,8,301.343920767307
97,15,9,29.4189945459366
98,15,10,8.24723544716835
99,15,11,47.3663581907749
100,15,12,438.060451865196
101,15,13,601.556472301483
102,15,14,1021.89007660747
103,16,0,0.924635112285614
104,16,1,1.3705977499485
105,16,2,2.53994590044022
106,16,6,17.1205861270428
107,16,7,541.459392368793
108,16,8,351.267490923405
109,16,9,13.800044208765
110,16,10,0.598639488220215
111,16,11,18.8943589031696
112,16,12,195.523850232363
113,16,13,1075.57010522485
114,16,14,1738.71738177538
115,16,15,1326.82435899973
116,17,0,3.52674120664597
117,17,1,0.801751255989075
118,17,2,1.80627125501633
119,17,6,8.0278362929821
120,17,7,20.6452393233776
121,17,8,55.4697457551956
122,17,9,3.22869694232941
123,17,10,0.304073721170425
124,17,11,9.58238446712494
125,17,12,95.0366744995117
126,17,13,2188.72710239887
127,17,14,857.741754561663
128,17,15,113.089386641979
129,17,16,1935.94531553984
130,18,0,0.757433742284775
131,18,1,0.482771754264832
132,18,6,5.12360507249832
133,18,7,2.10949510335922
134,18,8,13.0656647384167
135,18,9,0.906649440526962
136,18,10,14.5536682009697
137,18,11,46.8501082956791
138,18,12,653.60246476531
139,18,13,115.540701240301
140,18,14,27.1542184352875
141,18,15,48.8886851966381
142,18,16,164.748953282833
143,18,17,968.044426828623
144,19,0,2.88713270425797
145,19,1,0.913896143436432
146,19,2,0.94432657957077
147,19,3,4.9149763584137
148,19,4,202.9932551682
149,19,5,302.838912427425
150,19,6,2.53498184680939
151,19,8,2.46945372223854
152,19,9,22.9353231787682
153,19,10,389.085665732622
154,19,11,27.404039978981
155,19,12,37.4736616611481
156,19,13,1.74506643414497
157,19,18,10.2727415561676
158,20,2,0.517489612102509
159,20,4,2.51854515075684
160,20,5,2.84361770749092
161,20,6,0.714488625526428
162,20,7,18.5935207903385
163,20,8,17.0655916035175
164,20,9,9.78265154361725
165,20,10,238.631056338549
166,20,11,290.348120301962
167,20,12,613.345701217651
168,20,13,12.6569499969482
169,20,14,1.73780998587608
170,20,15,7.49372214078903
171,20,16,3.61717176437378
172,20,17,3.31064939498901
173,20,18,20.5927353799343
174,20,19,447.7761464715
175,21,6,0.970339477062225
176,21,7,2.27663058042526
177,21,8,2.98542049527168
178,21,9,0.888785719871521
179,21,10,29.4551855325699
180,21,11,36.6889488995075
181,21,12,260.164770185947
182,21,13,41.6790607273579
183,21,14,17.5485645532608
184,21,15,15.8755674362183
185,21,16,32.9696310758591
186,21,17,49.9519793391228
187,21,18,1465.51646625996
188,21,19,107.873779058456
189,21,20,304.542214781046
190,22,0,4.96581535041332
191,22,1,0.394161880016327
192,22,2,0.473431080579758
193,22,6,3.87377613782883
194,22,7,4.8470610678196
195,22,8,6.6209220290184
196,22,9,0.921261936426163
197,22,10,54.0820241272449
198,22,11,88.3653301596642
199,22,12,120.543110132217
200,22,13,12.821630358696
201,22,14,2.45063149929047
202,22,15,0.711327731609344
